t	u	v	z						
0.00E+00	0.062475791	0.00E+00	0.00E+00						
1.00E-04	0.063041517	6.44E-04	-1.21E-03						
2.00E-04	0.063165855	9.13E-05	-9.75E-04						
3.00E-04	0.063432369	2.11E-04	-8.03E-04						
3.50E-04	0.063642946	3.41E-04	-1.49E-03						
4.00E-04	0.063839403	3.70E-04	-1.39E-03						
5.00E-04	0.064175201	1.96E-04	-1.94E-03						
6.00E-04	0.064376415	-1.37E-04	-7.44E-04						
7.00E-04	0.064618957	2.12E-04	-5.32E-04						
8.00E-04	0.065010108	6.66E-04	-2.36E-03						
9.00E-04	0.065444791	7.08E-04	-3.79E-03						
1.00E-03	0.065785882	3.54E-04	-3.93E-03						
1.10E-03	0.066068034	1.24E-04	-3.75E-03						
1.20E-03	0.066404452	2.11E-04	-4.06E-03						
1.30E-03	0.066757908	3.07E-04	-4.76E-03						
1.40E-03	0.066969952	7.33E-05	-5.34E-03						
1.50E-03	0.067024101	-1.51E-04	-5.78E-03						
1.60E-03	0.06712184	6.76E-05	-6.67E-03						
1.70E-03	0.067408728	6.55E-04	-8.37E-03						
1.80E-03	0.067717501	7.53E-04	-1.06E-02						
1.90E-03	0.06774683	-3.45E-05	-1.30E-02						
2.00E-03	0.067462387	-7.10E-04	-1.57E-02						
2.10E-03	0.067157172	-5.43E-04	-1.92E-02						
2.20E-03	0.067075334	2.69E-04	-2.42E-02						
2.30E-03	0.067105296	6.25E-04	-3.14E-02						
2.40E-03	0.066984567	2.12E-04	-4.15E-02						
2.50E-03	0.066716966	-2.98E-04	-5.71E-02						
2.60E-03	0.066607858	-1.40E-04	-8.29E-02						
2.70E-03	0.066880064	5.70E-04	-1.23E-01						
2.80E-03	0.067383745	1.01E-03	-1.75E-01						
2.90E-03	0.067799295	5.35E-04	-2.23E-01						
3.00E-03	0.067991137	-4.75E-04	-2.36E-01						
3.10E-03	0.068051176	-7.82E-04	-1.82E-01						
3.20E-03	0.068051077	-5.16E-04	-6.80E-02						
3.30E-03	0.067946977	-2.10E-04	5.43E-02						
3.40E-03	0.067759852	-5.58E-06	1.37E-01						
3.50E-03	0.067687593	3.55E-04	1.76E-01						
3.60E-03	0.067910761	8.36E-04	1.98E-01						
3.70E-03	0.06834352	9.78E-04	2.04E-01						
3.80E-03	0.068737528	5.11E-04	1.67E-01						
3.90E-03	0.069006754	-3.11E-04	8.15E-02						
4.00E-03	0.069311662	-2.64E-04	-3.48E-02						
4.10E-03	0.06975601	1.73E-04	-1.59E-01						
4.20E-03	0.070128898	2.05E-04	-2.28E-01						
4.30E-03	0.070076089	-5.70E-04	-1.53E-01						
4.40E-03	0.069482895	-1.24E-03	6.43E-02						
4.50E-03	0.06858981	-1.42E-03	2.98E-01						
4.60E-03	0.067718651	-6.62E-04	4.00E-01						
4.70E-03	0.067048929	6.05E-04	3.32E-01						
4.80E-03	0.066684861	1.30E-03	1.74E-01						
4.90E-03	0.066802309	1.63E-03	1.31E-02						
5.00E-03	0.067541591	1.74E-03	-1.04E-01						
5.10E-03	0.068677525	1.36E-03	-1.32E-01						
5.20E-03	0.069698833	-1.02E-05	-2.33E-02						
5.30E-03	0.070212249	-1.92E-03	2.10E-01						
5.40E-03	0.070230454	-2.27E-03	4.49E-01						
5.50E-03	0.070024472	-9.46E-04	5.37E-01						
5.60E-03	0.069783542	4.48E-04	4.35E-01						
5.70E-03	0.069496808	1.09E-03	2.22E-01						
5.80E-03	0.069187591	9.54E-04	1.75E-02						
5.90E-03	0.06900617	7.65E-04	-8.90E-02						
6.00E-03	0.069024814	6.00E-04	-1.01E-01						
6.10E-03	0.069092758	2.69E-04	-8.80E-02						
6.20E-03	0.069066367	-4.45E-04	-1.13E-01						
6.30E-03	0.069051839	-8.12E-04	-1.95E-01						
6.40E-03	0.069265182	-4.18E-04	-2.91E-01						
6.50E-03	0.069646423	-3.30E-04	-3.30E-01						
6.60E-03	0.069804427	-1.00E-03	-2.89E-01						
6.70E-03	0.069498642	-1.99E-03	-1.99E-01						
6.80E-03	0.069089516	-1.97E-03	-1.02E-01						
6.90E-03	0.069264657	3.18E-04	-1.80E-02						
7.00E-03	0.070330017	1.98E-03	6.43E-02						
7.10E-03	0.071710702	1.19E-03	1.64E-01						
7.20E-03	0.072378894	-1.79E-03	2.41E-01						
7.30E-03	0.07188448	-5.38E-03	1.98E-01						
