[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0	0.062825166
1E-04	0.063394766
0.0002	0.063517309
0.0003	0.063787827
0.00035	0.064000142
0.0004	0.064195333
0.0005	0.064532463
0.0006	0.064732873
0.0007	0.064977244
0.0008	0.065373341
0.0009	0.065814001
0.001	0.066160314
0.0011	0.066446858
0.0012	0.066785057
0.0013	0.067136797
0.0014	0.067345502
0.0015	0.067399102
0.0016	0.067499263
0.0017	0.067787423
0.0018	0.068095665
0.0019	0.068124015
0.002	0.067839143
0.0021	0.067535394
0.0022	0.067454063
0.0023	0.067481553
0.0024	0.067357735
0.0025	0.067089867
0.0026	0.066982389
0.0027	0.06725511
0.0028	0.067755922
0.0029	0.068168105
0.003	0.06835843
0.0031	0.068417985
0.0032	0.068416806
0.0033	0.068307106
0.0034	0.068112333
0.0035	0.068030984
0.0036	0.068234402
0.0037	0.068634529
0.0038	0.068982326
0.0039	0.069195579
0.004	0.069440865
0.0041	0.069844529
0.0042	0.07023362
0.0043	0.070277891
0.0044	0.069827069
0.0045	0.069011546
0.0046	0.06805444
0.0047	0.067111283
0.0048	0.066355219
0.0049	0.06606507
0.005	0.066376353
0.0051	0.067112622
0.0052	0.067796032
0.0053	0.068131628
0.0054	0.068248343
0.0055	0.068474617
0.0056	0.068995429
0.0057	0.069744705
0.0058	0.070546351
0.0059	0.071290168
0.006	0.071877155
0.0061	0.071998715
0.0062	0.071531808
0.0063	0.070744421
0.0064	0.07002467
0.0065	0.069432643
0.0066	0.068655158
0.0067	0.067523675
0.0068	0.066540208
0.0069	0.066532696
0.007	0.067820759
0.0071	0.069745424
0.0072	0.071047127
0.0073	0.070937805
0.0074	0.069728829
0.0075	0.068411105
0.0076	0.067789094
0.0077	0.068000999
0.0078	0.068747812
0.0079	0.069481412
0.008	0.069623755
0.0081	0.068866275
0.0082	0.067435214
0.0083	0.06599329
0.0084	0.06515966
0.0085	0.065157944
0.0086	0.065832477
0.0087	0.066849643
0.0088	0.067884234
0.0089	0.068644982
0.009	0.068986697
0.0091	0.069089854
0.0092	0.069368722
0.0093	0.07001897
0.0094	0.070707743
0.0095	0.070818449
0.0096	0.070129434
0.0097	0.069212452
0.0098	0.068910738
0.0099	0.069470467
0.01	0.070364272
0.0101	0.070909086
0.0102	0.070827842
0.0103	0.07040135
0.0104	0.069951452
0.0105	0.069571011
0.0106	0.069288237
0.010700001	0.06926648
0.0108	0.069752121
0.0109	0.070690934
0.011	0.071617455
0.0111	0.072000723
0.0112	0.071711498
0.0113	0.071044186
0.0114	0.070366657
0.0115	0.069846583
0.0116	0.069434209
0.0117	0.069006192
0.0118	0.068334232
0.0119	0.067326894
0.012	0.066292058
0.0121	0.065741084
0.0122	0.065915415
0.0123	0.066617915
0.0124	0.0673867
0.0125	0.067976687
0.0126	0.068522294
0.0127	0.069163022
0.0128	0.069795264
0.0129	0.070072547
0.013	0.069864548
0.0131	0.069583877
0.0132	0.069899386
0.0133	0.071056433
0.0134	0.072716026
0.0135	0.074245158
0.0136	0.075179378
0.0137	0.075471448
0.0138	0.075249727
0.0139	0.07444448
0.014	0.0729541
0.0141	0.070974437
0.0142	0.069033691
0.0143	0.06771471
