# time,pos_x,pos_y,vel_x,vel_y,mre_x,mre_y,gol_x,gol_y,atr_x,atr_y,fin_x,fin_y,tile
0.000000,0.264966,-0.307035,-0.038786,0.004592,0.000000,0.000000,3.547076,-3.028962,0.000000,0.000000,-0.038342,0.004510,11.211422
0.020000,0.264897,-0.307551,0.032151,-0.056283,-0.000000,0.000000,3.564202,-3.020719,0.000000,0.000000,0.017282,-0.031268,11.315748
0.040000,0.266257,-0.309281,0.103706,-0.116213,-0.000000,0.000000,3.611502,-3.019093,0.000000,0.000000,-0.079254,0.123141,11.669238
0.060000,0.269011,-0.312162,0.169934,-0.170927,0.000000,-0.000000,3.682811,-3.019053,0.000000,0.000000,-0.681579,0.391136,12.237145
0.080000,0.272987,-0.316091,0.226429,-0.222367,-0.000000,0.000000,3.747870,-3.039354,0.000000,0.000000,-1.282073,0.254331,12.214753
0.100000,0.278020,-0.321130,0.278857,-0.282457,0.000000,0.000000,3.787698,-3.095814,0.000000,0.000000,-0.818659,-0.015101,11.719262
0.120000,0.284239,-0.327409,0.345340,-0.345811,0.000000,-0.000000,3.834289,-3.165023,0.000000,0.000000,-0.196523,-0.045482,11.537870
0.140000,0.291901,-0.334968,0.421954,-0.410160,0.000000,0.000000,3.915378,-3.231878,0.000000,0.000000,0.049986,0.003574,11.531890
0.160000,0.301108,-0.343798,0.495712,-0.470574,-0.000000,-0.000000,4.043663,-3.296658,-0.419193,0.404028,-0.359652,0.123938,11.695265
0.180000,0.311608,-0.353744,0.550640,-0.522864,0.000000,-0.000000,4.223116,-3.358875,-0.426709,0.413567,-1.566240,0.524868,12.063840
0.200000,0.323037,-0.364664,0.591684,-0.568400,0.000000,0.000000,4.425160,-3.424811,-0.441145,0.436217,-1.972178,0.801905,12.196297
0.220000,0.335277,-0.376421,0.628821,-0.600709,0.000000,0.000000,4.608743,-3.505504,-2.369546,2.390776,-1.111396,0.740392,12.145029
0.240000,0.348119,-0.388510,0.655463,-0.607339,-0.000000,-0.000000,4.787207,-3.603646,-2.958052,2.945688,-0.762151,0.622435,12.024124
0.260000,0.361221,-0.400466,0.650292,-0.585445,0.000000,-0.000000,5.018620,-3.689815,-4.560111,4.610075,-1.045940,0.233056,11.927178
0.280000,0.374086,-0.411964,0.635576,-0.564874,-0.000000,0.000000,5.270306,-3.770532,-4.713698,4.722303,-1.235454,0.060425,12.009671
0.300000,0.386712,-0.423025,0.629367,-0.539150,0.000000,0.000000,5.457869,-3.859987,-4.885471,4.865498,-0.561814,0.577623,11.938804
0.320000,0.399254,-0.433423,0.622545,-0.498756,0.000000,0.000000,5.644641,-3.936802,-5.683232,5.692794,-0.501594,0.296304,11.772406
0.340000,0.411566,-0.442992,0.606651,-0.457673,0.000000,0.000000,5.909332,-3.966479,-5.908315,5.879627,-1.116695,0.276807,11.856537
0.360000,0.423429,-0.451676,0.577087,-0.409849,0.000000,-0.000000,6.201697,-3.972591,-6.143272,6.078806,-1.886432,0.355030,12.008074
0.380000,0.434634,-0.459396,0.544423,-0.362425,-0.000000,0.000000,6.290733,-4.165711,-6.385744,6.297977,-1.393693,0.231183,11.935865
0.400000,0.445273,-0.466170,0.521937,-0.315284,-0.000000,0.000000,6.170112,-4.287663,-6.636693,6.533227,-0.374623,0.055554,11.658072
0.420000,0.455533,-0.472024,0.503106,-0.270338,0.000000,0.000000,6.054883,-4.570296,-6.896020,6.780913,-0.236651,0.011565,11.591166
0.440000,0.465376,-0.476980,0.480993,-0.224768,0.000000,-0.000000,6.268688,-4.855592,-7.167202,7.046359,-0.265361,0.178341,11.772895
0.460000,0.474732,-0.480994,0.452311,-0.176650,0.000000,-0.000000,6.168729,-5.324139,-7.454700,7.328990,-0.615865,0.331704,11.895255
0.480000,0.483275,-0.484071,0.395003,-0.130883,-0.000000,0.000000,4.157818,-5.494428,-7.774457,7.648700,-0.412985,0.201791,11.598814
0.500000,0.490148,-0.486175,0.280614,-0.076023,-0.000000,0.000000,0.935837,-4.650884,-8.145796,8.026907,-0.215880,-0.015437,11.518839
