t	u	v	z						
0.00E+00	0.058283285	0.00E+00	0.00E+00						
1.00E-04	0.058812259	6.44E-04	-1.21E-03						
2.00E-04	0.058929293	9.13E-05	-9.75E-04						
3.00E-04	0.059178818	2.11E-04	-8.03E-04						
3.50E-04	0.059380324	3.41E-04	-1.49E-03						
4.00E-04	0.059563398	3.70E-04	-1.39E-03						
5.00E-04	0.059876696	1.96E-04	-1.94E-03						
6.00E-04	0.060064256	-1.37E-04	-7.44E-04						
7.00E-04	0.060287624	2.12E-04	-5.32E-04						
8.00E-04	0.060652919	6.66E-04	-2.36E-03						
9.00E-04	0.061062292	7.08E-04	-3.79E-03						
1.00E-03	0.061382699	3.54E-04	-3.93E-03						
1.10E-03	0.061646639	1.24E-04	-3.75E-03						
1.20E-03	0.061960744	2.11E-04	-4.06E-03						
1.30E-03	0.062292174	3.07E-04	-4.76E-03						
1.40E-03	0.062489815	7.33E-05	-5.34E-03						
1.50E-03	0.062537429	-1.51E-04	-5.78E-03						
1.60E-03	0.062626125	6.76E-05	-6.67E-03						
1.70E-03	0.062894327	6.55E-04	-8.37E-03						
1.80E-03	0.063183686	7.53E-04	-1.06E-02						
1.90E-03	0.06320877	-3.45E-05	-1.30E-02						
2.00E-03	0.062939347	-7.10E-04	-1.57E-02						
2.10E-03	0.062652667	-5.43E-04	-1.92E-02						
2.20E-03	0.062575256	2.69E-04	-2.42E-02						
2.30E-03	0.062603022	6.25E-04	-3.14E-02						
2.40E-03	0.062489325	2.12E-04	-4.15E-02						
2.50E-03	0.062236654	-2.98E-04	-5.71E-02						
2.60E-03	0.062133939	-1.40E-04	-8.29E-02						
2.70E-03	0.062390851	5.70E-04	-1.23E-01						
2.80E-03	0.062863816	1.01E-03	-1.75E-01						
2.90E-03	0.063252932	5.35E-04	-2.23E-01						
3.00E-03	0.06343245	-4.75E-04	-2.36E-01						
3.10E-03	0.063488443	-7.82E-04	-1.82E-01						
3.20E-03	0.063489626	-5.16E-04	-6.80E-02						
3.30E-03	0.063394167	-2.10E-04	5.43E-02						
3.40E-03	0.063218759	-5.58E-06	1.37E-01						
3.50E-03	0.063147307	3.55E-04	1.76E-01						
3.60E-03	0.063352923	8.36E-04	1.98E-01						
3.70E-03	0.063755868	9.78E-04	2.04E-01						
3.80E-03	0.06412594	5.11E-04	1.67E-01						
3.90E-03	0.064381505	-3.11E-04	8.15E-02						
4.00E-03	0.064670243	-2.64E-04	-3.48E-02						
4.10E-03	0.065091252	1.73E-04	-1.59E-01						
4.20E-03	0.065445938	2.05E-04	-2.28E-01						
4.30E-03	0.065398176	-5.70E-04	-1.53E-01						
4.40E-03	0.064846145	-1.24E-03	6.43E-02						
4.50E-03	0.064020814	-1.42E-03	2.98E-01						
4.60E-03	0.06322196	-6.62E-04	4.00E-01						
4.70E-03	0.062616673	6.05E-04	3.32E-01						
4.80E-03	0.062307028	1.30E-03	1.74E-01						
4.90E-03	0.062463983	1.63E-03	1.31E-02						
5.00E-03	0.06320885	1.74E-03	-1.04E-01						
5.10E-03	0.064341495	1.36E-03	-1.32E-01						
5.20E-03	0.065370976	-1.02E-05	-2.33E-02						
5.30E-03	0.065889463	-1.92E-03	2.10E-01						
5.40E-03	0.06591418	-2.27E-03	4.49E-01						
5.50E-03	0.065740356	-9.46E-04	5.37E-01						
5.60E-03	0.065575671	4.48E-04	4.35E-01						
5.70E-03	0.065436346	1.09E-03	2.22E-01						
5.80E-03	0.065340084	9.54E-04	1.75E-02						
5.90E-03	0.06540779	7.65E-04	-8.90E-02						
6.00E-03	0.065705464	6.00E-04	-1.01E-01						
6.10E-03	0.06608675	2.69E-04	-8.80E-02						
6.20E-03	0.066358834	-4.45E-04	-1.13E-01						
6.30E-03	0.066530183	-8.12E-04	-1.95E-01						
6.40E-03	0.066718178	-4.18E-04	-2.91E-01						
6.50E-03	0.066821552	-3.30E-04	-3.30E-01						
6.60E-03	0.066482975	-1.00E-03	-2.89E-01						
6.70E-03	0.065543643	-1.99E-03	-1.99E-01						
