[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0	0.062592249
1E-04	0.06315903
0.0002	0.063283599
0.0003	0.063550611
0.00035	0.063761581
0.0004	0.063958403
0.0005	0.064294827
0.0006	0.064496417
0.0007	0.06473941
0.0008	0.065131291
0.0009	0.065566784
0.001	0.06590851
0.0011	0.066191188
0.0012	0.066528234
0.0013	0.066882348
0.0014	0.067094788
0.0015	0.067149037
0.0016	0.067246959
0.0017	0.067534382
0.0018	0.067843731
0.0019	0.067873114
0.002	0.067588141
0.0021	0.067282357
0.0022	0.067200366
0.0023	0.067230385
0.0024	0.06710943
0.0025	0.06684133
0.0026	0.066732019
0.0027	0.067004732
0.0028	0.067509352
0.0029	0.067925677
0.003	0.068117877
0.0031	0.068178028
0.0032	0.068177928
0.0033	0.068073634
0.0034	0.06788616
0.0035	0.067813767
0.0036	0.068037351
0.0037	0.068470916
0.0038	0.068865659
0.0039	0.069135387
0.004	0.069440862
0.0041	0.06988604
0.0042	0.070259622
0.0043	0.070206715
0.0044	0.069612415
0.0045	0.068717665
0.0046	0.067844883
0.0047	0.067173912
0.0048	0.066809166
0.0049	0.066926832
0.005	0.067667492
0.0051	0.068805544
0.0052	0.069828756
0.0053	0.070343128
0.0054	0.070361367
0.0055	0.070155001
0.0056	0.069913623
0.0057	0.069626354
0.0058	0.06931656
0.0059	0.069134802
0.006	0.069153481
0.0061	0.069221551
0.0062	0.069195111
0.0063	0.069180555
0.0064	0.069394297
0.0065	0.069776248
0.0066	0.069934547
0.0067	0.069628191
0.0068	0.069218303
0.0069	0.069393771
0.007	0.070461117
0.0071	0.071844375
0.0072	0.072513813
0.0073	0.072018477
0.0074	0.070836355
0.0075	0.06977945
0.0076	0.069261131
0.0077	0.069183926
0.0078	0.069277842
0.0079	0.069452801
0.008	0.069748062
0.0081	0.070094578
0.0082	0.070292721
0.0083	0.070163238
0.0084	0.069633421
0.0085	0.068725739
0.0086	0.067662022
0.0087	0.066859202
0.0088	0.066708537
0.0089	0.067274406
0.009	0.068109944
0.0091	0.068562728
0.0092	0.068334363
0.0093	0.067710293
0.0094	0.067192074
0.0095	0.067076789
0.0096	0.067401026
0.0097	0.068086375
0.0098	0.068915604
0.0099	0.069471394
0.01	0.069382957
0.0101	0.068779971
0.0102	0.068378783
0.0103	0.068864339
0.0104	0.070165874
0.0105	0.071447605
0.0106	0.071832822
0.010700001	0.071267534
0.0108	0.070570641
0.0109	0.070567774
0.011	0.071367737
0.0111	0.072456021
0.0112	0.073184729
0.0113	0.073268194
0.0114	0.072804538
0.0115	0.072122336
0.0116	0.071566219
0.0117	0.07131815
0.0118	0.071287347
0.0119	0.071211538
0.012	0.070924955
0.0121	0.070514268
0.0122	0.070210203
0.0123	0.070066664
0.0124	0.069903485
0.0125	0.069519588
0.0126	0.068963693
0.0127	0.068481122
0.0128	0.068240514
0.0129	0.068138742
0.013	0.068060684
0.0131	0.068117083
0.0132	0.068453085
0.0133	0.06890675
0.0134	0.069158284
0.0135	0.06904304
0.0136	0.068858025
0.0137	0.069075531
0.0138	0.069855617
0.0139	0.07077541
0.014	0.071248125
0.0141	0.071234059
0.0142	0.071333736
0.0143	0.072237997
0.0144	0.074031666
0.0145	0.076081967
0.0146	0.077472343
0.0147	0.077557763
0.0148	0.076440694
0.0149	0.074682193
0.015	0.07284307
0.0151	0.071205428
0.0152	0.069757261
0.0153	0.068407962
0.0154	0.067308702
0.0155	0.066930796
0.0156	0.067618967
0.015699999	0.0692199
0.015799999	0.071053521
0.015900001	0.072360345
0.016000001	0.072853848
0.016100001	0.072801494
0.0162	0.072568121
0.0163	0.072265803
0.0164	0.071819097
0.0165	0.071273671
0.0166	0.070767191
0.0167	0.070226991
0.016799999	0.06946043
0.016899999	0.068495165
0.017000001	0.06783284
0.017100001	0.067995357
0.017200001	0.068923632
0.0173	0.069975297
0.0174	0.070488291
0.0175	0.070370829
0.0176	0.070020053
0.0177	0.069799109
0.0178	0.069755637
0.017899999	0.069798837
0.017999999	0.069906519
0.018100001	0.070059425
0.018200001	0.070135279
0.018300001	0.069949524
0.0184	0.069481804
0.0185	0.069010613
0.0186	0.068917423
0.0187	0.069393113
0.0188	0.0703934
0.0189	0.071583347
0.018999999	0.072493533
0.019099999	0.072704294
0.019200001	0.072029518
0.019300001	0.07073089
0.019400001	0.06943913
0.0195	0.068727263
0.0196	0.068676044
0.0197	0.069007837
0.0198	0.069448578
0.0199	0.069961472
0.02	0.070565089
0.020099999	0.070982311
0.020199999	0.070721705
0.020300001	0.069584102
0.020400001	0.0679189
0.020500001	0.066338329
0.0206	0.065333275
0.0207	0.065210714
0.0208	0.066182575
0.0209	0.068158215
0.021	0.070467698
0.0211	0.072111482
0.021199999	0.072518539
0.021299999	0.071948642
0.021400001	0.071056333
0.021500001	0.070168836
0.021600001	0.069301905
0.0217	0.068468789
0.0218	0.068016658
0.0219	0.068380166
0.022	0.069578151
0.0221	0.0711215
0.0222	0.072385152
0.022299999	0.072897075
0.022399999	0.072470585
0.022500001	0.071173455
0.022600001	0.069335593
0.022700001	0.067730324
0.0228	0.067315986
0.0229	0.068469474
0.023	0.070542527
0.0231	0.07232921
0.0232	0.073028653
0.0233	0.072908873
0.023399999	0.072684077
0.023499999	0.072617526
0.023600001	0.072538289
0.023700001	0.072369974
0.023800001	0.072238143
0.0239	0.072158664
0.024	0.071945327
0.0241	0.071447206
0.0242	0.07080845
0.0243	0.070260661
0.0244	0.069860226
0.024499999	0.06944832
0.024599999	0.068954154
0.024700001	0.068608894
0.024800001	0.068785749
0.024900001	0.069597723
0.025	0.070817984
0.0251	0.072110457
0.0252	0.073090123
0.0253	0.073409506
0.0254	0.072994379
0.0255	0.072043946
0.025599999	0.071017211
0.025699999	0.070260974
0.025800001	0.069774334
0.025900001	0.069239046
0.026000001	0.068449176
0.0261	0.067666658
0.0262	0.06740763
0.0263	0.067872339
0.0264	0.068772786
0.0265	0.069786526
0.0266	0.070847413
0.026699999	0.072018713
0.026799999	0.07306772
0.026900001	0.073512943
0.027000001	0.073219379
0.027100001	0.07264882
0.0272	0.072391842
0.0273	0.072607996
0.0274	0.072943604
0.0275	0.072997514
0.0276	0.072621073
0.0277	0.071773293
0.027799999	0.070501064
0.027899999	0.06905257
0.028000001	0.067923626
0.028100001	0.067625953
0.028200001	0.068221872
0.0283	0.069291586
0.0284	0.070380405
0.0285	0.071451406
0.0286	0.072778247
0.0287	0.074347252
0.0288	0.07566107
0.028899999	0.076102297
0.028999999	0.075456328
0.029100001	0.074078454
0.029200001	0.072591236
0.029300001	0.071401194
0.0294	0.070728808
0.0295	0.070644386
0.0296	0.071056628
0.0297	0.071870824
0.0298	0.073015988
0.0299	0.074344689
0.029999999	0.075432088
0.030099999	0.075598493
0.030200001	0.074428708
0.030300001	0.072059604
0.030400001	0.069238207
0.0305	0.066898927
0.0306	0.065685307
0.0307	0.065690024
0.0308	0.066637749
0.0309	0.068134233
0.031	0.06981527
0.031099999	0.071223477
0.031199999	0.071828259
0.031300001	0.071441872
0.031399999	0.070461788
0.031500001	0.069570599
0.031599999	0.069324639
0.0317	0.069812907
0.031800002	0.070689327
0.0319	0.071446535
0.032000002	0.071763205
0.0321	0.071641243
0.032200001	0.071342018
0.032299999	0.071171069
0.032400001	0.071239298
0.032499999	0.071412774
0.032600001	0.071532826
0.032699999	0.071670899
0.0328	0.072077852
0.032900002	0.072812979
0.033	0.073481396
0.033100002	0.073443788
0.0332	0.072360694
0.033300001	0.0706896
0.033399999	0.069312691
0.033500001	0.068760258
0.033599999	0.068904141
0.033700001	0.069303306
0.033799999	0.069654876
0.0339	0.069937708
0.034000002	0.070165493
0.0341	0.070215497
0.034200002	0.069965922
0.0343	0.069555494
0.034400001	0.069367653
0.034499999	0.069660918
0.034600001	0.070368765
0.034699999	0.071160273
0.034800001	0.07175026
0.034899999	0.072040322
0.035	0.072008317
0.035100002	0.071562509
0.0352	0.070744403
0.035300002	0.069724366
0.0354	0.068783899
0.035500001	0.06823078
0.035599999	0.068322025
0.035700001	0.069060934
0.035799999	0.070124171
0.035900001	0.070939401
0.035999999	0.071023933
0.0361	0.070360065
0.036200002	0.069462621
0.0363	0.068913835
0.036400002	0.068892212
0.0365	0.069117679
0.036600001	0.069169325
0.036699999	0.068836143
0.036800001	0.068259865
0.036899999	0.067730415
0.037000001	0.067456073
0.037099998	0.067565824
0.0372	0.068153679
0.037300002	0.069317354
0.0374	0.07094284
0.037500002	0.072566289
0.0376	0.073574609
0.037700001	0.073641981
0.037799999	0.072966048
0.037900001	0.07208091
0.037999999	0.071469917
0.038100001	0.071345393
0.038199998	0.071708198
0.0383	0.072304426
0.038400002	0.072718759
0.0385	0.072654195
0.038600002	0.072163472
0.0387	0.07155737
0.038800001	0.071145187
0.038899999	0.070960457
0.039000001	0.070766864
0.039099999	0.070311803
0.039200001	0.069492454
0.039299998	0.068363097
0.0394	0.067119268
0.039500002	0.066064872
0.0396	0.06559018
0.039700002	0.066089416
0.039799999	0.067606838
0.039900001	0.06965435
0.039999999	0.071522874
0.040100001	0.072780874
0.040199999	0.073446782
0.040300001	0.073750126
0.040399998	0.073681951
0.0405	0.073044982
0.040600002	0.071860836
0.0407	0.070683961
0.040800002	0.07010703
0.040899999	0.070186648
0.041000001	0.070524737
0.041099999	0.070751352
0.041200001	0.070750848
0.041299999	0.070570686
0.041400001	0.070241234
0.041499998	0.069794256
0.0416	0.069337843
0.041700002	0.069042337
0.0418	0.069079468
0.041900002	0.069427082
0.041999999	0.069866649
0.042100001	0.070110527
0.042199999	0.070063408
0.042300001	0.069870649
0.042399999	0.069766487
0.0425	0.069905866
0.042599998	0.070280841
0.0427	0.070774984
0.042800002	0.071291615
0.0429	0.071776958
0.043000002	0.0722151
0.043099999	0.072617336
0.043200001	0.072911581
0.043299999	0.072919092
0.043400001	0.072502251
0.043499999	0.071764366
0.0436	0.070949067
0.043699998	0.070236045
0.0438	0.069679306
0.043900002	0.069347359
0.044	0.069332436
0.044100002	0.069547964
0.044199999	0.069682091
0.044300001	0.06952123
0.044399999	0.06919009
0.044500001	0.069027677
0.044599999	0.069277066
0.0447	0.069874405
0.044799998	0.070500162
0.0449	0.0709057
0.045000002	0.071085739
0.0451	0.071164256
0.045200001	0.071271421
0.045299999	0.071520361
0.045400001	0.071968383
