# time,pos_x,pos_y,vel_x,vel_y,mre_x,mre_y,gol_x,gol_y,rpn_x,rpn_y,fin_x,fin_y,tile
0.000000,-0.557144,0.474754,0.035800,0.006679,-0.000000,0.000000,10.571443,-9.747537,-2.705781,3.093371,0.035355,0.006620,24.128841
0.020000,-0.554840,0.473550,0.195016,-0.127344,0.000000,0.000000,10.548396,-9.735503,-2.711519,3.100692,0.165620,-0.108518,24.176377
0.040000,-0.549340,0.469654,0.354762,-0.262254,-0.000000,0.000000,10.493396,-9.696535,-2.723051,3.099806,0.163197,-0.122450,24.309611
0.060000,-0.540676,0.463076,0.510473,-0.394663,-0.000000,-0.000000,10.406756,-9.630764,-2.742472,3.095040,-0.080500,0.056568,24.522856
0.080000,-0.528989,0.453917,0.655878,-0.519589,-0.000000,-0.000000,10.289893,-9.539168,-2.769329,3.094478,-0.618337,0.477202,24.797761
0.100000,-0.514552,0.442379,0.784627,-0.631705,-0.000000,-0.000000,10.145519,-9.423785,-2.801697,3.100400,-1.410681,1.113714,25.104318
0.120000,-0.497747,0.428761,0.892094,-0.726979,-0.000000,0.000000,9.977468,-9.287614,-2.843031,3.113029,-2.335900,1.871434,25.408683
0.140000,-0.479023,0.413424,0.976465,-0.803661,0.000000,-0.000000,9.790228,-9.134238,-2.895495,3.133171,-3.247587,2.630903,25.683145
0.160000,-0.458836,0.396736,1.038666,-0.862287,0.000000,-0.000000,9.588364,-8.967357,-2.958256,3.160766,-4.033599,3.296036,25.911857
0.180000,-0.437606,0.379039,1.081401,-0.904933,0.000000,-0.000000,9.376060,-8.790390,-3.030715,3.197623,-4.639708,3.815810,26.090446
0.200000,-0.415688,0.360627,1.108041,-0.934283,0.000000,-0.000000,9.156876,-8.606270,-3.110848,3.246690,-5.059694,4.178910,26.222012
0.220000,-0.393369,0.341738,1.121904,-0.953020,0.000000,0.000000,8.933695,-8.417384,-3.196218,3.306890,-5.313528,4.397579,26.312756
